uuid,Title,Author,Year of publication
f525c602-e0aa-f151-2813-78b04ed69f5b,"[Cyrillic: Alchemy, astrology, magic and medicine (collection)]","Bacon, Roger",2023
ab9f0e60-5287-a131-a7a4-15c876d9f425,"[Cyrillic: An encyclopedic outline of masonic, germetic, qabbalistic and Rosicrucian symbolical philosophy]","Hall, Manly Palmer",1992
98720e40-bf1f-ccc7-67b7-dbfa273daffa,[Cyrillic: Arab Hermes: from pagan sage to prophet of science],"Bladel, Kevin van",2022
92d4ce94-345e-ccad-54ec-0952b0d936e2,[Cyrillic: Ars Almadel Salomonis],,2018
dd1a35a3-c810-99b2-95d0-b510b53894b0,[Cyrillic: Astrology and religion: contradictions of unity],"Saplin, Alexander",2023
a5921b0e-f80a-8393-1bc6-96b80aecfec8,[Cyrillic: Book of Antimachus of Aristotles Book of spiritual works of the book of secrets of Hermes],,2023
d11a60dd-72b6-96bc-b348-cbfe1f63fb40,[Cyrillic: Book of horoscope],,2023
a16cce39-9532-fbb8-34a3-f82e642d7b76,"[Cyrillic: buddhist magic: centuries of divination,healing and sorcery]","Schaik, Sam van",2022
6e4358ee-da6b-4548-16da-0b54e9f5af1f,[Cyrillic: Chemical collections: Rare treatises on hermetic medecine and alchemy],,2022
d8b5b11e-4d52-79bf-f31d-1095278f372a,[Cyrillic: Christosophia or the way to Christ],"Böhme, Jacob",1994
dfa44cd5-72d6-708a-708a-ab27a667a9dd,[Cyrillic: Chymische Hochzeit des Christian Rosenkreuz anno 1459. Fama Fraternitatis. Confessio Fraternitatis],"Andreae, Johann Valentin",2003
920feb3d-e006-dee2-da20-93d6b9503848,[Cyrillic: Collection Bibliotheca Philosophica Hermetica. Catalogue],"Vsekhsvyatskaya, Tanya",1999
894bfa83-3e4c-aa7d-72e1-1c756edcd214,[Cyrillic: De chinese gnosis,"Leene, Jan",2010
2e8cbaa9-ad49-79b4-182c-e296d7e22d2a,[Cyrillic: Divine cabala],Lenain,2019
11754d70-8c22-8c9f-4854-9fd94579938c,[Cyrillic: Doctor John Dee],"Dibdin,T. F.|Fletcher, W. jr.|Poison, G. M.",2021
20462200-a6ce-a58f-7702-9aa94e1f8bd3,[Cyrillic: Dorothea of Sidon - Astrological song or five books by Dorothea about the judgements of the stars],Dorothea van Sidon,2022
be2ca022-01c5-a234-ea73-d71623b2be2d,"[Cyrillic: Dutch books - victims of war. Exhibition catalogue of books from the VGBIL, of Dutch origin]",,1992
1a9e61c4-7db7-2681-bec2-0446c1676e87,[Cyrillic: Everyman's Talmud],,2011
a4b8c9b1-fa75-96e9-fb91-79dda447b982,[Cyrillic: From the history of Russian Rosicrucianism],"Kiselyov, N.P",2005
8e59b3bd-7904-7e8f-1292-8c35a2fdd4e0,[Cyrillic: Greek and Roman necromancy],"Ogden, Daniel",2021
fc00ec3a-780f-4ff5-7e95-4649815cdac9,[Cyrillic: Grimoire of the Psalms of David],,2018
4fa986df-080e-2306-151f-a14d32d48460,[Cyrillic: Helena Blavatsky. Soedbij i litsa... Sbornik] Helena Blavatsky. Lotgevallen en personen. Bundel,,2006
ce03b9f6-21c5-8873-09fd-988b4012681b,[Cyrillic: Hell key (key to hell)],Cyprianus,2022
67489c15-2f90-131b-8441-2662a3e6964a,[Cyrillic: Hieroglyphic nomad],"Dee, John",2023
31019529-3608-0465-f761-fd31d99aa88d,[Cyrillic: In search of reality: (materials on the history of the religion of Aphrodite)],"Botkin, Gleb",2023
0abcdef7-04c3-61ed-ad0f-a3e79956d9ab,[Cyrillic: Inventory list of older printed works],,1986
927315b0-bf87-504f-9a77-446134686716,[Cyrillic: Istorija Religii],"Men, Alexander",1992
a8187917-6100-2fa7-8cf7-f737bfb4da4f,[Cyrillic: Jakob Böhme],"Wehr, Gerhard",1998
63937e90-a805-1fe0-6315-259d5be18075,[Cyrillic: Jan Amos Comenius. List of Russian translations and secondary literature... 1772-1992],anonymous,1995
