identifier,title,creator,year,subjects,description,language,item_url,preferred_format,download_url,text_available,translation_status,notes
bub_gb_LXqW-ZyF7OoC,Astrolabium planum in tabulis ascendens continens qualibet hora atque minuto equationes domorum celi moram nati in vtero matris cum quodam tractatu natiuitatum vtili ac ornato necnon horas inequales pro qualibet climate mundi a Johanne Angeli a nouo elaboratum,Johannes Engel,1502,bub_upload,,latin,https://archive.org/details/bub_gb_LXqW-ZyF7OoC,PDF,https://archive.org/download/bub_gb_LXqW-ZyF7OoC/bub_gb_LXqW-ZyF7OoC.pdf,likely,not-started,
bub_gb_q3lPoeltk6sC,Omnia opera Baptistae Mantuani Carmelitae in hoc volumine contenta. Eglogae. 10. Syluarum libri. 8. De calamitatibus libri 3. ..,Giovanni Battista Spagnoli,1502,bub_upload,,latin,https://archive.org/details/bub_gb_q3lPoeltk6sC,HTML,https://archive.org/download/bub_gb_q3lPoeltk6sC/bub_gb_q3lPoeltk6sC_hocr.html,likely,not-started,
bub_gb_UZ5NMv8mHKUC,"Erodotou logoi ennea, oiper epikalountai Mousai. Herodoti libri nouem quibus musarum indita sunt nomina. ..",Herodotus,1502,bub_upload,,latin,https://archive.org/details/bub_gb_UZ5NMv8mHKUC,PDF,https://archive.org/download/bub_gb_UZ5NMv8mHKUC/bub_gb_UZ5NMv8mHKUC.pdf,likely,not-started,
bub_gb_1hzcNYbjkX0C,Margarita poetarum.per clarissimum virum Albertum De Eiib in unum collecta 1502,,1502,bub_upload,,latin,https://archive.org/details/bub_gb_1hzcNYbjkX0C,PDF,https://archive.org/download/bub_gb_1hzcNYbjkX0C/bub_gb_1hzcNYbjkX0C.pdf,likely,not-started,
bub_gb_3fQ9hVEjcNcC,Valerii Maximi Dictorum et factorum memorabilium libri nouem,Valerius : Maximus,1502,bub_upload,,latin,https://archive.org/details/bub_gb_3fQ9hVEjcNcC,PDF,https://archive.org/download/bub_gb_3fQ9hVEjcNcC/bub_gb_3fQ9hVEjcNcC.pdf,likely,not-started,
bub_gb_9k1ZTuPhXZIC,Antonius de Butrio completus super quinque libris decretalium cum repertorio eiusdem .. Super quarto libro Decretalium,,1502,bub_upload,,latin,https://archive.org/details/bub_gb_9k1ZTuPhXZIC,PDF,https://archive.org/download/bub_gb_9k1ZTuPhXZIC/bub_gb_9k1ZTuPhXZIC.pdf,likely,not-started,
bub_gb_AhT_oUG__6gC,Omnia Campani opera quæ continentur hoc in libro sunt. Gampani uita per Michaelem fernum. Campani de ingratitudine fugienda libri tres De regendo magistratu. De dignitate matrimonii ..,Giovanni Antonio Campano,1502,bub_upload,,latin,https://archive.org/details/bub_gb_AhT_oUG__6gC,HTML,https://archive.org/download/bub_gb_AhT_oUG__6gC/bub_gb_AhT_oUG__6gC_hocr.html,likely,not-started,
bub_gb_Et1X34ZW6UcC,Philippi Beroaldi Libellus quo septem sapientum sententiae discutiuntur,Filippo Beroaldo,1502,bub_upload,,latin,https://archive.org/details/bub_gb_Et1X34ZW6UcC,PDF,https://archive.org/download/bub_gb_Et1X34ZW6UcC/bub_gb_Et1X34ZW6UcC.pdf,likely,not-started,
bub_gb_G8p1HizSrY0C,Sermones quadragesimales praeclarissimi candido & ornatissimo stillo editi ab eximio ... fratre Cherubino de Spoleto ordi. Mi. regularis obseruantiae ..,Cherubino : da Spoleto,1502,bub_upload,,latin,https://archive.org/details/bub_gb_G8p1HizSrY0C,HTML,https://archive.org/download/bub_gb_G8p1HizSrY0C/bub_gb_G8p1HizSrY0C_hocr.html,likely,not-started,
bub_gb_jE9QCfxhCAwC,Philostratus De vita Apollonii Tyanei scriptor luculentus a Philippo Beroaldo castigatus. Apollonii Tynaei meminit beatus Hieronymus in prologo bibliae dicens. ..,Flavius Philostratus,1502,bub_upload,,latin,https://archive.org/details/bub_gb_jE9QCfxhCAwC,PDF,https://archive.org/download/bub_gb_jE9QCfxhCAwC/bub_gb_jE9QCfxhCAwC.pdf,likely,not-started,
bub_gb_mG5OAAAAcAAJ,Omnia Campani opera quæ continentur hoc in libro sunt. Gampani sic uita per Michaelem fernum. Campani de ingratitudine fugienda libri tres De regendo magistratu. De dignitate matrimonii ..,Giovanni Antonio Campanus,1502,bub_upload,,latin,https://archive.org/details/bub_gb_mG5OAAAAcAAJ,HTML,https://archive.org/download/bub_gb_mG5OAAAAcAAJ/bub_gb_mG5OAAAAcAAJ_hocr.html,likely,not-started,
bub_gb_N7ffrJVEcY8C,Philostratus De vita Apollonii Tyanei scriptor luculentus a Philippo Beroaldo castigatus. Apollonii Tynaei meminit beatus Hieronymus in prologo bibliae dicens. ..,Flavius Philostratus,1502,bub_upload,,latin,https://archive.org/details/bub_gb_N7ffrJVEcY8C,PDF,https://archive.org/download/bub_gb_N7ffrJVEcY8C/bub_gb_N7ffrJVEcY8C.pdf,likely,not-started,
bub_gb_O5ejHxb0Zj4C,Philippi Beroaldi Libellus quo septem sapientum sententiae discutiuntur,Filippo Beroaldo,1502,bub_upload,,latin,https://archive.org/details/bub_gb_O5ejHxb0Zj4C,PDF,https://archive.org/download/bub_gb_O5ejHxb0Zj4C/bub_gb_O5ejHxb0Zj4C.pdf,likely,not-started,
bub_gb_VFb7_w6HgtMC,Que continentur in hoc uolumine sunt infrascripta uidelicet. Regula beati p. nostri Francisci. Testamentum eiusdem. Declaratio Greg. pape no. super eandem regulam. Declaratio Ntcolai pape tertii super eandem. Declaratio quat. magistrorum super eandem. Expositio seraphici doctoris Bonauenture super eandem. Epistola eiusdem ad in,Francescani,1502,bub_upload,,latin,https://archive.org/details/bub_gb_VFb7_w6HgtMC,PDF,https://archive.org/download/bub_gb_VFb7_w6HgtMC/bub_gb_VFb7_w6HgtMC.pdf,likely,not-started,
bub_gb_zHdwCbvRWjQC,Francisci Philelfi Satyrarum Hecatosticon prima decima decas,Francesco Filelfo,1502,bub_upload,,latin,https://archive.org/details/bub_gb_zHdwCbvRWjQC,PDF,https://archive.org/download/bub_gb_zHdwCbvRWjQC/bub_gb_zHdwCbvRWjQC.pdf,likely,not-started,
bub_gb_hJOtTQw-OrUC,Apicii Celii De re coquinaria libri decem. Coquinariæ capita Græca ab Apitio posita haec sunt. Epimeles Artoptus Cepurica Pandecter Osprion Trophetes Polyteles Tetrapus Thalassa Halieus. Hanc Plato adulatricem medicinæ appellat,Coelius Apicius,1503,bub_upload,,latin,https://archive.org/details/bub_gb_hJOtTQw-OrUC,PDF,https://archive.org/download/bub_gb_hJOtTQw-OrUC/bub_gb_hJOtTQw-OrUC.pdf,likely,not-started,
bub_gb_eCLTP9LJIYMC,Laurentius Abstemius lectoris. Iunior hic Asper doctique Palæmonis ars est vtraque Donati & nobilis editio Seruius huic hæret doctus ..,Aemilius il giovane Asper (il giovane),1503,bub_upload,,latin,https://archive.org/details/bub_gb_eCLTP9LJIYMC,PDF,https://archive.org/download/bub_gb_eCLTP9LJIYMC/bub_gb_eCLTP9LJIYMC.pdf,likely,not-started,
